model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
ASK14,0.02,p0p020,SA,6,a15,1.1,1.1,,ASK14_Coeffs,U6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a16,0,0,,ASK14_Coeffs,V6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a17,-0.0073,-0.0073,,ASK14_Coeffs,W6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a43,0.1,0.1,,ASK14_Coeffs,X6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a44,0.05,0.05,,ASK14_Coeffs,Y6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a45,0,0,,ASK14_Coeffs,Z6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a46,-0.05,-0.05,,ASK14_Coeffs,AA6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a25,-0.0015,-0.0015,,ASK14_Coeffs,AB6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a28,0.0024,0.0024,,ASK14_Coeffs,AC6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a29,-0.0033,-0.0033,,ASK14_Coeffs,AD6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a31,-0.1479,-0.1479,,ASK14_Coeffs,AE6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a36,0.255,0.255,,ASK14_Coeffs,AF6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a37,0.328,0.328,,ASK14_Coeffs,AG6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
