model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CB14,0.03,p0p030,SA,7,c0,-4.024,-4.024,,CB14_Coeffs,B7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c1,0.931,0.931,,CB14_Coeffs,C7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c2,0.628,0.628,,CB14_Coeffs,D7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c3,-1.494,-1.494,,CB14_Coeffs,E7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c4,-0.517,-0.517,,CB14_Coeffs,F7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c5,-2.782,-2.782,,CB14_Coeffs,G7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c6,0.246,0.246,,CB14_Coeffs,H7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c7,6.291,6.291,,CB14_Coeffs,I7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c8,0,0,,CB14_Coeffs,J7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c9,-0.213,-0.213,,CB14_Coeffs,K7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c10,0.759,0.759,,CB14_Coeffs,L7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c11,1.29,1.29,,CB14_Coeffs,M7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c12,2.164,2.164,,CB14_Coeffs,N7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c13,1.476,1.476,,CB14_Coeffs,O7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c14,-0.0422,-0.0422,,CB14_Coeffs,P7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c15,-0.202,-0.202,,CB14_Coeffs,Q7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c16,0.378,0.378,,CB14_Coeffs,R7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c17,0.1095,0.1095,,CB14_Coeffs,S7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c18,0.0331,0.0331,,CB14_Coeffs,T7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c19,0.0079,0.0079,,CB14_Coeffs,U7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.03,p0p030,SA,7,c20,-0.0057,-0.0057,,CB14_Coeffs,V7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
