model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
I14,0.25,p0p250,SA,13,a1_2,11.3629,11.3629,,I14_Coeffs,F13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,a2_2,-0.1766,-0.1766,,I14_Coeffs,G13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,b1_2,2.3773,2.3773,,I14_Coeffs,H13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,b2_2,-0.1531,-0.1531,,I14_Coeffs,I13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,a3,0.0095,0.0095,,I14_Coeffs,J13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,x,-1.042,-1.042,,I14_Coeffs,K13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,g,-0.0028,-0.0028,,I14_Coeffs,L13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,j,0.08,0.08,,I14_Coeffs,M13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,a1,9.8912,9.8912,,I14_Coeffs,B14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,a2,0.0003,0.0003,,I14_Coeffs,C14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,b1,2.8423,2.8423,,I14_Coeffs,D14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,b2,-0.2284,-0.2284,,I14_Coeffs,E14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,a1_2,11.7818,11.7818,,I14_Coeffs,F14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,a2_2,-0.2798,-0.2798,,I14_Coeffs,G14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,b1_2,2.3772,2.3772,,I14_Coeffs,H14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,b2_2,-0.1595,-0.1595,,I14_Coeffs,I14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,a3,-0.0039,-0.0039,,I14_Coeffs,J14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,x,-1.03,-1.03,,I14_Coeffs,K14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,g,-0.0029,-0.0029,,I14_Coeffs,L14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.3,p0p300,SA,14,j,0.08,0.08,,I14_Coeffs,M14,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,a1,9.5342,9.5342,,I14_Coeffs,B15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,a2,0.0027,0.0027,,I14_Coeffs,C15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,b1,2.83,2.83,,I14_Coeffs,D15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,b2,-0.2318,-0.2318,,I14_Coeffs,E15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,a1_2,11.6097,11.6097,,I14_Coeffs,F15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,a2_2,-0.3048,-0.3048,,I14_Coeffs,G15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,b1_2,2.3413,2.3413,,I14_Coeffs,H15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,b2_2,-0.1594,-0.1594,,I14_Coeffs,I15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,a3,-0.0133,-0.0133,,I14_Coeffs,J15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,x,-1.019,-1.019,,I14_Coeffs,K15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,g,-0.0028,-0.0028,,I14_Coeffs,L15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.4,p0p400,SA,15,j,0.08,0.08,,I14_Coeffs,M15,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.5,p0p500,SA,16,a1,9.2142,9.2142,,I14_Coeffs,B16,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.5,p0p500,SA,16,a2,0.0399,0.0399,,I14_Coeffs,C16,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.5,p0p500,SA,16,b1,2.856,2.856,,I14_Coeffs,D16,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.5,p0p500,SA,16,b2,-0.2337,-0.2337,,I14_Coeffs,E16,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
