model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
BSSA14,0.02,p0p020,SA,6,f1,0,0,,BSSA14_Coeffs,V6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f3,0.1,0.1,,BSSA14_Coeffs,W6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f4,-0.1471,-0.1471,,BSSA14_Coeffs,X6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f5,-0.00728,-0.00728,,BSSA14_Coeffs,Y6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f6 (1/km),-9.9,-9.9,,BSSA14_Coeffs,Z6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f7,-9.9,-9.9,,BSSA14_Coeffs,AA6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,R1 (km),113.1,113.1,,BSSA14_Coeffs,AB6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,R2 (km),270,270,,BSSA14_Coeffs,AC6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,DfR,0.092,0.092,,BSSA14_Coeffs,AD6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,DfV,0.03,0.03,,BSSA14_Coeffs,AE6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,V1 (m/s),225,225,,BSSA14_Coeffs,AF6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,V2 (m/s),300,300,,BSSA14_Coeffs,AG6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f1_2,0.702,0.702,,BSSA14_Coeffs,AH6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,f2,0.502,0.502,,BSSA14_Coeffs,AI6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,t1,0.409,0.409,,BSSA14_Coeffs,AJ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,t2,0.346,0.346,,BSSA14_Coeffs,AK6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
